company,title,location,link
HSBC,international wealth and premier banking,Check link,/careers/our-business-areas-and-teams/international-wealth-and-premier-banking
HSBC,hsbc singapore student work placement (polytechnic)  (opens in new window),Check link,https://hsbcearlycareers.groupgti.com/hsbc-singapore-student-work-placement---asia-pacific-singapore/544/apply
HSBC,hong kong student work placement programme  (opens in new window),Check link,https://hsbcearlycareers.groupgti.com/hsbc-student-work-placement-programme---asia-pacific-hong-kong-sar/451/apply
