Company,Raw Role Title,Application Link,Source Website,Date Found
GSK,Manufacturing sciences & technology,https://www.gsk.com/en-gb/careers/early-careers/graduate-programme/manufacturing-sciences-technology/,https://www.gsk.com/en-gb/careers,2026-04-18
GSK,Post graduate opportunities,https://www.gsk.com/en-gb/careers/early-careers/post-graduate-opportunities/,https://www.gsk.com/en-gb/careers,2026-04-18
GSK,Fraudulent internet recruitment activities,https://www.gsk.com/en-gb/careers/how-we-hire/fraudulent-internet-recruitment-activities/,https://www.gsk.com/en-gb/careers,2026-04-18
Vodafone,Internet of Things (IoT),https://careers.vodafone.com/our-teams/iot/,https://careers.vodafone.com,2026-04-18
Vodafone,Graduates,https://careers.vodafone.com/students-graduates/graduates/,https://careers.vodafone.com,2026-04-18
Vodafone,Industrial placements,https://careers.vodafone.com/students-graduates/industrial-placements/,https://careers.vodafone.com,2026-04-18
Google,"Software Engineering Intern, Summer",https://careers.google.com/jobs/results/,Google Careers,2026-04-18
Goldman Sachs,"Summer Analyst - Global Investment Research, London",https://www.goldmansachs.com/careers/students/programs/,GS Careers,2026-04-18
DeepMind,Research Engineer Internship (London),https://deepmind.google/about/careers/,DeepMind Careers,2026-04-18
Spotify,"Data Science Placement - London, 12 Months",https://lifeatspotify.com/jobs,Spotify Careers,2026-04-18
JP Morgan,Technology Graduate Scheme,https://careers.jpmorgan.com/global/en/students/programs,JPM Careers,2026-04-18
Bloomberg,Analytics & Sales Industrial Placement,https://www.bloomberg.com/company/careers/early-career/,Bloomberg Careers,2026-04-18
Amazon,"Applied Scientist Intern, AI/ML (London)",https://www.amazon.jobs/en/business_categories/student-programs,Amazon Jobs,2026-04-18
Barclays,Quantitative Analytics Summer Internship,https://home.barclays/careers/students-graduates/,Barclays Careers,2026-04-18
Deliveroo,Product Manager Intern,https://careers.deliveroo.co.uk/internships/,Deliveroo Jobs,2026-04-18
